Lead_ID,Lead_Date,Region,City,Salesperson,Customer_Segment,Lead_Source,Lead_Quality_Score,Lead_Cost_INR,Follow_ups,Converted,Conversion_Date,Days_to_Convert,Lost_Reason
LEAD000130,2024-01-29,East,Kolkata,Vikram Sen,Individual,Walk-in,26,50.09,2,No,,,No Response
LEAD000131,2024-01-29,West,Mumbai,Dev Patel,Individual,Paid Social,44,397.83,1,Yes,2024-02-01,3,
LEAD000132,2024-01-29,South,Bengaluru,Isha Reddy,SME,Referral,78,127.69,2,Yes,2024-02-07,9,
LEAD000133,2024-01-29,West,Pune,Meera Joshi,SME,Organic Search,64,81.05,4,Yes,2024-02-17,19,
LEAD000134,2024-01-29,South,Bengaluru,Arjun Nair,Individual,Google Ads,58,609.22,2,Yes,2024-02-01,3,
LEAD000135,2024-01-30,North,Jaipur,Karan Malhotra,Individual,Referral,77,103.75,1,Yes,2024-01-31,1,
LEAD000136,2024-01-30,West,Mumbai,Rohan Mehta,Individual,Google Ads,48,711.01,1,Yes,2024-02-14,15,
LEAD000137,2024-01-30,West,Mumbai,Dev Patel,Individual,Marketplace,81,164.01,2,Yes,2024-02-11,12,
LEAD000138,2024-01-30,West,Ahmedabad,Meera Joshi,Individual,Organic Search,74,101.85,4,Yes,2024-02-18,19,
LEAD000139,2024-01-30,North,Delhi,Priya Verma,Individual,Organic Search,56,94.26,1,Yes,2024-02-08,9,
LEAD000140,2024-01-30,North,Jaipur,Aarav Sharma,Individual,Organic Search,56,103.04,4,Yes,2024-02-20,21,
LEAD000141,2024-01-31,North,Jaipur,Karan Malhotra,Individual,Marketplace,23,205.47,6,No,,,Not Ready Yet
LEAD000142,2024-01-31,North,Delhi,Karan Malhotra,Individual,Marketplace,33,213.49,3,No,,,Price Too High
LEAD000143,2024-01-31,West,Pune,Dev Patel,Individual,Paid Social,63,460.69,1,No,,,No Response
LEAD000144,2024-01-31,South,Hyderabad,Sneha Rao,Individual,Paid Social,52,448.32,2,Yes,2024-02-14,14,
LEAD000145,2024-02-01,North,Jaipur,Priya Verma,SME,Google Ads,54,604.17,5,No,,,Budget Delayed
LEAD000146,2024-02-01,South,Chennai,Sneha Rao,SME,Google Ads,79,695.63,1,Yes,2024-02-20,19,
LEAD000147,2024-02-01,South,Bengaluru,Isha Reddy,Individual,Organic Search,70,78.24,1,Yes,2024-02-23,22,
LEAD000148,2024-02-01,West,Ahmedabad,Rohan Mehta,Individual,Organic Search,44,92.50,2,Yes,2024-02-05,4,
LEAD000149,2024-02-01,South,Chennai,Sneha Rao,Individual,Paid Social,44,443.65,2,Yes,2024-02-16,15,
LEAD000150,2024-02-01,West,Pune,Dev Patel,Individual,Marketplace,59,183.03,4,Yes,2024-02-07,6,
LEAD000151,2024-02-01,West,Pune,Dev Patel,SME,Marketplace,69,210.18,4,Yes,2024-02-08,7,
LEAD000152,2024-02-01,South,Chennai,Isha Reddy,Individual,Paid Social,28,424.01,4,No,,,No Response
LEAD000153,2024-02-01,West,Pune,Rohan Mehta,Individual,Referral,77,119.69,3,Yes,2024-02-15,14,
LEAD000154,2024-02-01,East,Guwahati,Kavya Roy,Individual,Paid Social,84,479.66,5,No,,,Price Too High
LEAD000155,2024-02-02,East,Kolkata,Kavya Roy,Individual,Walk-in,82,49.83,3,No,,,No Response
LEAD000156,2024-02-02,South,Chennai,Isha Reddy,Individual,Paid Social,46,470.39,4,No,,,Price Too High
LEAD000157,2024-02-02,South,Chennai,Isha Reddy,Individual,Organic Search,29,76.83,2,Yes,2024-02-11,9,
LEAD000158,2024-02-03,South,Hyderabad,Arjun Nair,Individual,Paid Social,30,478.50,5,No,,,Not Ready Yet
LEAD000159,2024-02-03,North,Delhi,Karan Malhotra,Individual,Marketplace,49,167.73,1,Yes,2024-02-10,7,
LEAD000160,2024-02-03,South,Chennai,Sneha Rao,Individual,Organic Search,45,103.15,6,No,,,No Response
LEAD000161,2024-02-03,South,Bengaluru,Sneha Rao,SME,Paid Social,42,456.32,2,No,,,No Response
LEAD000162,2024-02-03,North,Delhi,Aarav Sharma,Individual,Walk-in,64,54.64,2,Yes,2024-02-04,1,
LEAD000163,2024-02-03,North,Lucknow,Priya Verma,Individual,Marketplace,74,168.61,4,Yes,2024-02-05,2,
LEAD000164,2024-02-04,North,Delhi,Aarav Sharma,Individual,Referral,79,129.06,3,Yes,2024-02-05,1,
LEAD000165,2024-02-04,North,Jaipur,Aarav Sharma,Individual,Paid Social,73,426.55,3,No,,,Not Ready Yet
LEAD000166,2024-02-04,West,Pune,Meera Joshi,Individual,Google Ads,58,650.70,3,Yes,2024-02-13,9,
LEAD000167,2024-02-04,West,Mumbai,Meera Joshi,SME,Marketplace,88,162.96,2,Yes,2024-02-18,14,
LEAD000168,2024-02-04,North,Jaipur,Karan Malhotra,SME,Google Ads,58,615.39,6,No,,,Competitor Chosen
LEAD000169,2024-02-04,West,Mumbai,Dev Patel,Corporate,Organic Search,72,88.50,6,Yes,2024-03-03,28,
LEAD000170,2024-02-04,South,Hyderabad,Isha Reddy,SME,Google Ads,59,686.42,4,No,,,Not Ready Yet
LEAD000171,2024-02-04,East,Bhubaneswar,Neha Das,Individual,Referral,86,106.60,1,Yes,2024-02-16,12,
LEAD000172,2024-02-04,South,Bengaluru,Isha Reddy,Corporate,Walk-in,35,49.73,4,No,,,Not Ready Yet
LEAD000173,2024-02-04,West,Mumbai,Rohan Mehta,SME,Walk-in,71,56.04,3,Yes,2024-02-07,3,
LEAD000174,2024-02-05,South,Bengaluru,Arjun Nair,Individual,Marketplace,66,191.97,6,No,,,Price Too High
LEAD000175,2024-02-05,South,Bengaluru,Isha Reddy,Individual,Organic Search,27,101.07,4,Yes,2024-02-17,12,
LEAD000176,2024-02-06,South,Chennai,Isha Reddy,Individual,Paid Social,37,380.42,2,No,,,Price Too High
LEAD000177,2024-02-06,North,Delhi,Karan Malhotra,Individual,Organic Search,76,92.08,4,Yes,2024-02-18,12,
LEAD000178,2024-02-06,North,Delhi,Karan Malhotra,Individual,Google Ads,51,700.71,3,No,,,Budget Delayed
LEAD000179,2024-02-06,North,Jaipur,Karan Malhotra,Individual,Google Ads,41,619.97,2,Yes,2024-02-17,11,
LEAD000180,2024-02-06,West,Pune,Rohan Mehta,SME,Marketplace,54,179.11,1,No,,,Competitor Chosen
LEAD000181,2024-02-06,East,Kolkata,Kavya Roy,Individual,Referral,68,113.99,1,No,,,Not Ready Yet
LEAD000182,2024-02-06,South,Bengaluru,Isha Reddy,Corporate,Corporate Outreach,70,299.10,2,No,,,Not Ready Yet
LEAD000183,2024-02-07,West,Ahmedabad,Rohan Mehta,Corporate,Corporate Outreach,46,282.34,4,No,,,No Response
LEAD000184,2024-02-07,North,Jaipur,Aarav Sharma,Individual,Paid Social,72,475.13,1,Yes,2024-02-19,12,
LEAD000185,2024-02-07,South,Hyderabad,Sneha Rao,Individual,Paid Social,21,449.51,6,No,,,Price Too High
LEAD000186,2024-02-07,West,Ahmedabad,Rohan Mehta,Individual,Marketplace,61,214.28,2,Yes,2024-02-14,7,
LEAD000187,2024-02-07,North,Lucknow,Aarav Sharma,Corporate,Corporate Outreach,44,271.94,2,No,,,Competitor Chosen
LEAD000188,2024-02-07,North,Delhi,Priya Verma,Individual,Referral,64,129.93,4,Yes,2024-02-19,12,
LEAD000189,2024-02-08,East,Bhubaneswar,Vikram Sen,SME,Corporate Outreach,50,247.80,3,No,,,Price Too High
LEAD000190,2024-02-08,North,Jaipur,Karan Malhotra,Individual,Paid Social,43,461.65,4,No,,,No Response
LEAD000191,2024-02-08,South,Bengaluru,Arjun Nair,Corporate,Referral,63,131.26,4,Yes,2024-02-27,19,
LEAD000192,2024-02-08,North,Jaipur,Karan Malhotra,SME,Referral,73,129.13,1,Yes,2024-02-22,14,
LEAD000193,2024-02-08,North,Jaipur,Aarav Sharma,Individual,Referral,74,106.64,1,Yes,2024-02-10,2,
LEAD000194,2024-02-08,North,Delhi,Karan Malhotra,Individual,Walk-in,75,47.95,3,Yes,2024-02-10,2,
LEAD000195,2024-02-09,West,Pune,Dev Patel,Individual,Google Ads,75,553.01,6,No,,,No Response
LEAD000196,2024-02-09,West,Mumbai,Meera Joshi,Individual,Paid Social,46,396.09,6,No,,,Budget Delayed
LEAD000197,2024-02-09,North,Delhi,Aarav Sharma,Corporate,Referral,68,121.79,1,Yes,2024-03-15,35,
LEAD000198,2024-02-09,North,Jaipur,Aarav Sharma,Individual,Organic Search,71,90.97,2,Yes,2024-02-24,15,
LEAD000199,2024-02-09,North,Jaipur,Karan Malhotra,Individual,Organic Search,42,98.68,5,No,,,Price Too High
LEAD000200,2024-02-09,West,Ahmedabad,Meera Joshi,Individual,Referral,81,126.62,1,Yes,2024-02-11,2,
LEAD000201,2024-02-10,West,Mumbai,Rohan Mehta,Individual,Google Ads,53,597.15,1,Yes,2024-02-12,2,
LEAD000202,2024-02-10,East,Kolkata,Vikram Sen,SME,Organic Search,87,79.08,4,Yes,2024-02-21,11,
LEAD000203,2024-02-10,West,Pune,Meera Joshi,Individual,Referral,73,131.02,4,No,,,Price Too High
LEAD000204,2024-02-11,South,Chennai,Isha Reddy,Individual,Walk-in,52,42.64,3,Yes,2024-02-14,3,
LEAD000205,2024-02-11,West,Mumbai,Rohan Mehta,Individual,Paid Social,49,397.64,3,No,,,Competitor Chosen
LEAD000206,2024-02-12,South,Chennai,Sneha Rao,Individual,Google Ads,91,704.19,3,Yes,2024-02-23,11,
LEAD000207,2024-02-12,West,Pune,Rohan Mehta,Individual,Marketplace,72,165.87,1,Yes,2024-02-14,2,
LEAD000208,2024-02-13,North,Delhi,Karan Malhotra,Individual,Walk-in,53,42.66,4,No,,,Budget Delayed
LEAD000209,2024-02-13,East,Bhubaneswar,Kavya Roy,Individual,Paid Social,44,445.00,1,No,,,No Response
LEAD000210,2024-02-13,East,Bhubaneswar,Kavya Roy,Individual,Paid Social,32,484.24,6,No,,,Competitor Chosen
LEAD000211,2024-02-13,East,Guwahati,Kavya Roy,Individual,Referral,87,108.29,5,No,,,Not Ready Yet
LEAD000212,2024-02-13,West,Mumbai,Meera Joshi,Corporate,Corporate Outreach,53,266.39,1,Yes,2024-03-15,31,
LEAD000213,2024-02-13,South,Chennai,Sneha Rao,Individual,Paid Social,52,404.82,4,No,,,Price Too High
LEAD000214,2024-02-13,East,Bhubaneswar,Vikram Sen,Corporate,Google Ads,58,641.49,1,No,,,No Response
LEAD000215,2024-02-14,West,Mumbai,Rohan Mehta,Individual,Referral,64,121.05,1,Yes,2024-02-18,4,
LEAD000216,2024-02-14,East,Kolkata,Neha Das,Individual,Walk-in,59,48.11,4,Yes,2024-02-22,8,
LEAD000217,2024-02-14,West,Ahmedabad,Dev Patel,SME,Organic Search,31,76.66,4,Yes,2024-02-27,13,
LEAD000218,2024-02-14,East,Bhubaneswar,Vikram Sen,Individual,Organic Search,68,100.83,3,Yes,2024-03-10,25,
LEAD000219,2024-02-14,North,Delhi,Priya Verma,Corporate,Walk-in,70,53.77,3,Yes,2024-03-01,16,
LEAD000220,2024-02-15,South,Hyderabad,Isha Reddy,Corporate,Google Ads,69,674.44,1,Yes,2024-03-01,15,
LEAD000221,2024-02-15,North,Delhi,Aarav Sharma,SME,Google Ads,52,616.32,6,No,,,Price Too High
LEAD000222,2024-02-15,North,Delhi,Priya Verma,Individual,Organic Search,45,79.61,2,No,,,No Response
LEAD000223,2024-02-16,North,Jaipur,Karan Malhotra,SME,Google Ads,50,562.09,5,No,,,Competitor Chosen
LEAD000224,2024-02-16,South,Hyderabad,Sneha Rao,Individual,Organic Search,31,88.01,2,Yes,2024-02-24,8,
LEAD000225,2024-02-16,South,Bengaluru,Sneha Rao,Individual,Paid Social,40,373.41,4,Yes,2024-03-02,15,
LEAD000226,2024-02-16,West,Mumbai,Rohan Mehta,Individual,Google Ads,18,693.49,4,No,,,Price Too High
LEAD000227,2024-02-16,North,Delhi,Karan Malhotra,SME,Google Ads,25,703.39,3,Yes,2024-02-23,7,
